product_id,title,vendor,price,image_path
0,MARZ Q2 Heavy Duty Professional Pressure Washer – High Pressure Cleaning Machine,MARZ,4825.0,D:\ai_warehouse\raw_images\shopify_store\marz\marz_q2_heavy_duty_professional_pressure_washer_high_pressure_cleaning_machine_professional_pressure_washer_rs_4825.0.jpg
1,,,,D:\ai_warehouse\raw_images\shopify_store\unknown_brand\nan_nan_rs_nan.jpg
2,SKF 6314 ZZ Deep Groove Ball Bearing – Double Shielded Heavy Duty Bearing,SKF,6108.0,D:\ai_warehouse\raw_images\shopify_store\skf\skf_6314_zz_deep_groove_ball_bearing_double_shielded_heavy_duty_bearing_deep_groove_ball_bearing_rs_6108.0.jpg
3,Lubcon Grease EP Plus – High Performance Extreme Pressure Industrial Grease (1 KG),LUBCON,3500.0,D:\ai_warehouse\raw_images\shopify_store\lubcon\lubcon_grease_ep_plus_high_performance_extreme_pressure_industrial_grease_1_kg_extreme_pressure_ep_grease_rs_3500.0.jpg
4,,,,D:\ai_warehouse\raw_images\shopify_store\unknown_brand\nan_nan_rs_nan.jpg
5,ALF 48V Cordless Pressure Washer | Portable High-Pressure Car & Bike Washer,ALF,932.0,D:\ai_warehouse\raw_images\shopify_store\alf\alf_48v_cordless_pressure_washer_portable_high_pressure_car_bike_washer_48v_rs_932.0.jpg
6,"Godrej Smart Lock Catus Connect Digital Door Lock | WiFi Enabled | Fingerprint, PIN & App Access | Gold Finish",Godrej,10585.0,D:\ai_warehouse\raw_images\shopify_store\godrej\godrej_smart_lock_catus_connect_digital_door_lock_wifi_enabled_fingerprint_pin_app_access_gold_finish_digital_smart_door_lock_rs_10585.0.jpg
7,,,,D:\ai_warehouse\raw_images\shopify_store\unknown_brand\nan_nan_rs_nan.jpg
8,Cordless Mini Chainsaw 6 Inch 21V Rechargeable Electric Chain Saw with Dual Battery – THCC56,Generic,1499.0,D:\ai_warehouse\raw_images\shopify_store\generic\cordless_mini_chainsaw_6_inch_21v_rechargeable_electric_chain_saw_with_dual_battery_thcc56_thcc56_rs_1499.0.jpg
9,5mm Allen Key / Allen Bolt Spanner (Short Handle),Generic,5.0,D:\ai_warehouse\raw_images\shopify_store\generic\5mm_allen_key_allen_bolt_spanner_short_handle_allen_key_allen_bolt_spanner_rs_5.0.jpg
10,,,,D:\ai_warehouse\raw_images\shopify_store\unknown_brand\nan_nan_rs_nan.jpg
11,Aluminium EC Grade Wire 99% Pure | Electrical Conductor Aluminium Wire 2mm thickness,Generic,450.0,D:\ai_warehouse\raw_images\shopify_store\generic\aluminium_ec_grade_wire_99_pure_electrical_conductor_aluminium_wire_2mm_thickness_aluminium_ec_grade_wire_rs_450.0.jpg
12,,,,D:\ai_warehouse\raw_images\shopify_store\unknown_brand\nan_nan_rs_nan.jpg
13,,,,D:\ai_warehouse\raw_images\shopify_store\unknown_brand\nan_nan_rs_nan.jpg
14,Anchor Sleeve Bolt with Nut & Washer | Heavy Duty Concrete Fixing Fastener,Generic,5.0,D:\ai_warehouse\raw_images\shopify_store\generic\anchor_sleeve_bolt_with_nut_washer_heavy_duty_concrete_fixing_fastener_anchor_sleeve_bolt_set_rs_5.0.jpg
15,,,,D:\ai_warehouse\raw_images\shopify_store\unknown_brand\nan_nan_rs_nan.jpg
16,,,,D:\ai_warehouse\raw_images\shopify_store\unknown_brand\nan_nan_rs_nan.jpg
17,Trimmer Hole Bit Set TS Series – Router Bits for Wood (6 pcs Set),Generic,488.0,D:\ai_warehouse\raw_images\shopify_store\generic\trimmer_hole_bit_set_ts_series_router_bits_for_wood_6_pcs_set_hole_bit_set_rs_488.0.jpg
18,Dongcheng DMP02-6 6.35 mm Trimmer,Dongcheng,1695.0,D:\ai_warehouse\raw_images\shopify_store\dongcheng\dongcheng_dmp02_6_6_35_mm_trimmer_electric_trimmer_rs_1695.0.jpg
19,,,,D:\ai_warehouse\raw_images\shopify_store\unknown_brand\nan_nan_rs_nan.jpg
20,SKF TKSA 40 Laser Shaft Alignment Toolkit | Precision Shaft Alignment Tool for Industrial Maintenance,SKF,64990.0,D:\ai_warehouse\raw_images\shopify_store\skf\skf_tksa_40_laser_shaft_alignment_toolkit_precision_shaft_alignment_tool_for_industrial_maintenance_laser_shaft_alignment_system_rs_64990.0.jpg
21,,,,D:\ai_warehouse\raw_images\shopify_store\unknown_brand\nan_nan_rs_nan.jpg
22,,,,D:\ai_warehouse\raw_images\shopify_store\unknown_brand\nan_nan_rs_nan.jpg
23,,,,D:\ai_warehouse\raw_images\shopify_store\unknown_brand\nan_nan_rs_nan.jpg
24,Metal Platform Trolley 350 Kg Load Capacity | Heavy Duty Industrial Material Handling Trolley,Generic,3569.0,D:\ai_warehouse\raw_images\shopify_store\generic\metal_platform_trolley_350_kg_load_capacity_heavy_duty_industrial_material_handling_trolley_platform_trolley_rs_3569.0.jpg
25,AXE-C-200 High Pressure Washer 2500W | 100% Copper Motor 200 Bar Industrial Cleaner,IMAXE DIAGER,7466.0,D:\ai_warehouse\raw_images\shopify_store\imaxe_diager\axe_c_200_high_pressure_washer_2500w_100_copper_motor_200_bar_industrial_cleaner_2500_watts_rs_7466.0.jpg
26,INGCO High Pressure Washer 1800W | Copper Motor Industrial Car & Floor Washer,INGCO,7429.0,D:\ai_warehouse\raw_images\shopify_store\ingco\ingco_high_pressure_washer_1800w_copper_motor_industrial_car_floor_washer_high_pressure_washer_rs_7429.0.jpg
27,,,,D:\ai_warehouse\raw_images\shopify_store\unknown_brand\nan_nan_rs_nan.jpg
28,Stretch Film Roll | Transparent Packaging Stretch Wrap – 10 Inch & 12 Inch,Generic,152.0,D:\ai_warehouse\raw_images\shopify_store\generic\stretch_film_roll_transparent_packaging_stretch_wrap_10_inch_12_inch_10_inch_rs_152.0.jpg
30,"PU Clear Oil Hose 6 × 4 mm | Transparent Polyurethane Tube for Oil, Air & Fluid Transfer",Generic,30.0,D:\ai_warehouse\raw_images\shopify_store\generic\pu_clear_oil_hose_6_4_mm_transparent_polyurethane_tube_for_oil_air_fluid_transfer_pu_clear_oil_hose_rs_30.0.jpg
